Date,Open,High,Low,Close,Adj Close,Volume
2023-07-05,30.160000,30.549999,29.660000,30.110001,26.038879,53585500
2023-07-06,29.850000,30.000000,29.150000,29.650000,25.641073,47685700
2023-07-07,29.760000,30.200001,29.360001,29.500000,25.511356,55533500
2023-07-10,29.110001,29.670000,29.010000,29.549999,25.554594,25590200
2023-07-11,29.530001,29.530001,29.000000,29.150000,25.208677,40877000
2023-07-12,29.200001,29.770000,29.139999,29.170000,25.225975,40181800
2023-07-13,29.070000,29.719999,29.040001,29.629999,25.623779,35886500
2023-07-14,29.500000,29.580000,28.860001,29.049999,25.122200,34451100
2023-07-17,28.410000,29.090000,27.950001,28.990000,25.070313,52160800
2023-07-18,29.000000,29.200001,28.709999,28.830000,24.931946,35640400
2023-07-19,28.809999,29.129999,28.570000,29.100000,25.165440,46517700
2023-07-20,29.070000,29.350000,28.879999,29.129999,25.191381,33177100
2023-07-21,29.150000,29.860001,29.129999,29.680000,25.667019,52059200
2023-07-24,29.799999,30.410000,29.760000,30.299999,26.203190,45268100
2023-07-25,30.500000,31.049999,30.200001,31.000000,26.808542,56261000
2023-07-26,30.950001,31.219999,30.629999,31.000000,26.808542,45880200
2023-07-27,30.850000,30.889999,29.379999,29.389999,25.416229,86471900
2023-07-28,29.430000,29.950001,29.320000,29.760000,25.736202,43608600
2023-07-31,30.299999,31.150000,30.299999,31.110001,26.903671,91290800
2023-08-01,31.090000,31.090000,29.950001,30.600000,26.462627,75752400
2023-08-02,30.510000,30.580000,29.799999,30.530001,26.402092,62068400
2023-08-03,30.930000,31.129999,30.620001,30.920000,26.739361,57304400
2023-08-04,30.700001,31.139999,29.740000,30.000000,25.943750,120685800
2023-08-07,29.860001,30.500000,29.860001,30.190001,26.108063,44984900
2023-08-08,29.910000,30.389999,29.719999,30.219999,26.134005,34771300
2023-08-09,30.209999,30.719999,30.160000,30.459999,26.341555,48561500
2023-08-10,30.299999,30.860001,30.120001,30.629999,26.488569,54020200
2023-08-11,30.610001,31.040001,30.160000,30.559999,26.428036,39403200
2023-08-14,30.480000,30.740000,30.270000,30.639999,26.497217,27992700
2023-08-15,32.049999,32.150002,30.850000,30.860001,26.687473,87366200
2023-08-16,31.000000,31.980000,30.879999,31.540001,27.275530,74461000
2023-08-17,31.750000,32.189999,31.309999,31.440001,27.189053,57570600
2023-08-18,31.410000,31.680000,31.180000,31.520000,27.258236,45579700
2023-08-21,31.700001,32.029999,30.969999,31.299999,27.067982,42236900
2023-08-22,30.500000,30.610001,30.240000,30.610001,27.480324,31372200
2023-08-23,31.200001,32.240002,31.090000,32.240002,28.943668,95507400
2023-08-24,32.270000,32.720001,31.840000,32.189999,28.898777,49332300
2023-08-25,32.380001,32.470001,31.799999,31.969999,28.701271,34079000
2023-08-28,32.099998,32.340000,31.860001,32.330002,29.024466,24956100
2023-08-29,32.400002,32.500000,31.990000,32.400002,29.087309,40607500
2023-08-30,32.410000,32.700001,32.299999,32.619999,29.284813,34637900
2023-08-31,32.709999,32.790001,31.879999,31.940001,28.674341,48971500
2023-09-01,32.209999,32.689999,31.959999,32.630001,29.293791,50089200
2023-09-04,32.680000,32.720001,32.209999,32.290001,28.988556,21667400
2023-09-05,32.270000,33.490002,32.220001,33.369999,29.958132,75082900
